n	potential_hex	potential	recurrence_upper	gap_lower	ratio_upper	evaluations
50	0x1.2acb428eac11p+10	1195.1759373360001	1195.0657855451818	0.11015179081823588	0.47807037493440019	178911
51	0x1.36aeae8b1fd0ap+10	1242.729403287	1242.6130936005811	0.11630968641884463	0.47778908238638995	183790
52	0x1.42cd67ccd8605p+10	1291.2094604599999	1291.0869450767591	0.1225153832408523	0.47751829159023679	188764
53	0x1.4f276e33b097dp+10	1340.6161011910001	1340.4871600651336	0.12894112586650405	0.47725742299430424	194033
54	0x1.5bbcc1a24c45bp+10	1390.9493184800001	1390.8139156098221	0.13540287017804073	0.47700593912208517	199279
55	0x1.688d61fe30e1cp+10	1442.2091060140001	1442.0671705192631	0.14193549473702657	0.47676334083107458	204637
56	0x1.75994f2fbad01p+10	1494.3954581569999	1494.2467371052658	0.14872105173412817	0.47652916395312506	209897
57	0x1.82e089222099ep+10	1547.5083699530001	1547.3528109223225	0.15555903067752294	0.47630297628593427	215263
58	0x1.90630fc363e4dp+10	1601.547837112	1601.3852513106681	0.16258580133194298	0.47608437488466121	220539
59	0x1.9e20e3043bf9dp+10	1656.5138559899999	1656.3442875978537	0.169568392146175	0.47587298362252239	225885
60	0x1.ac1a02d7f58eap+10	1712.4064235589999	1712.2295698775936	0.17685368140632815	0.47566845098861121	231133
61	0x1.ba4e6f34528f6p+10	1769.2255373769999	1769.041127929954	0.18440944704593673	0.475470448099167	236463
62	0x1.c8be281158ba5p+10	1826.971195542	1826.7793924582477	0.19180308375234742	0.47527866689438109	241693
63	0x1.d7692d693b133p+10	1885.6433966709999	1885.44388721686	0.19950945413984297	0.47509281851121204	247003
64	0x1.e64f7f380da75p+10	1945.2421398290001	1945.0349685801789	0.20717124882116875	0.47491263179418963	252217
65	0x1.f5711d7bacdadp+10	2005.767424506	2005.5522907066697	0.21513379933026042	0.47473785195408297	257584
66	0x1.02670419be7e4p+11	2067.2192505570001	2066.9960743223783	0.22317623462186018	0.4745682393381544	262857
67	0x1.0a331fb01fa92p+11	2129.5976181619999	2129.3661483639698	0.23146979803004794	0.47440356831410124	268226
68	0x1.121ce181ffec5p+11	2192.9025278089998	2192.6628126197661	0.23971518923372057	0.4742436262562717	273515
69	0x1.1a244990c1142p+11	2257.1339801570002	2256.8857847481504	0.24819540884982413	0.47408821259336287	278874
70	0x1.224957de63d6ap+11	2322.2919761610001	2322.035111468364	0.25686469263609973	0.47393713799204096	284161
