r2blk	20	600	2	1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 2 2 2 2 2
r2rnd	20	600	1	1 1 2 1 1 2 2 2 1 1 2 2 2 1 2 1 2 2 1 1
r2rnd	20	600	2	1 1 2 1 1 2 2 2 1 1 2 2 2 1 2 1 2 2 1 1
id	8	80	1	1 1 1 1 1 1 1 1
id	8	80	2	1 1 1 1 1 1 1 1
r2per	8	80	1	1 2 1 2 1 2 1 2
r2per	8	80	2	1 2 1 2 1 2 1 2
r2sum	8	80	1	1 1 1 1 2 2 2 2
r2sum	8	80	2	1 1 1 1 2 2 2 2
r2blk	8	80	1	1 1 2 2 1 1 2 2
r2blk	8	80	2	1 1 2 2 1 1 2 2
r2rnd	8	80	1	1 2 2 1 2 1 1 2
r2rnd	8	80	2	1 2 2 1 2 1 1 2
id	12	180	1	1 1 1 1 1 1 1 1 1 1 1 1
id	12	180	2	1 1 1 1 1 1 1 1 1 1 1 1
r2per	12	180	1	1 2 1 2 1 2 1 2 1 2 1 2
r2per	12	180	2	1 2 1 2 1 2 1 2 1 2 1 2
r2sum	12	180	1	1 1 1 1 1 1 2 2 2 2 2 2
r2sum	12	180	2	1 1 1 1 1 1 2 2 2 2 2 2
r2blk	12	180	1	1 1 1 2 2 2 1 1 1 2 2 2
r2blk	12	180	2	1 1 1 2 2 2 1 1 1 2 2 2
r2rnd	12	180	1	1 1 2 2 1 1 1 2 2 2 1 2
r2rnd	12	180	2	1 1 2 2 1 1 1 2 2 2 1 2
r3per	12	180	1	1 2 3 1 2 3 1 2 3 1 2 3
r3per	12	180	2	1 2 3 1 2 3 1 2 3 1 2 3
r3sum	12	180	1	1 1 1 1 2 2 2 2 3 3 3 3
r3sum	12	180	2	1 1 1 1 2 2 2 2 3 3 3 3
r3blk	12	180	1	1 1 2 2 3 3 1 1 2 2 3 3
r3blk	12	180	2	1 1 2 2 3 3 1 1 2 2 3 3
r3rnd	12	180	1	3 1 3 2 3 2 2 1 3 2 1 1
r3rnd	12	180	2	3 1 3 2 3 2 2 1 3 2 1 1
id	16	320	1	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
id	16	320	2	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
r2per	16	320	1	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2
r2per	16	320	2	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2
r2sum	16	320	1	1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2
r2sum	16	320	2	1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2
r2blk	16	320	1	1 1 1 1 2 2 2 2 1 1 1 1 2 2 2 2
r2blk	16	320	2	1 1 1 1 2 2 2 2 1 1 1 1 2 2 2 2
r2rnd	16	320	1	2 2 1 1 2 2 1 1 2 2 1 2 1 2 1 1
r2rnd	16	320	2	2 2 1 1 2 2 1 1 2 2 1 2 1 2 1 1
id	20	500	1	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
id	20	500	2	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
r2per	20	500	1	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2
r2per	20	500	2	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2
r2sum	20	500	1	1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2
r2sum	20	500	2	1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2
r2blk	20	500	1	1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 2 2 2 2 2
r2blk	20	500	2	1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 2 2 2 2 2
r2rnd	20	500	1	1 1 2 1 1 2 2 2 1 1 2 2 2 1 2 1 2 2 1 1
r2rnd	20	500	2	1 1 2 1 1 2 2 2 1 1 2 2 2 1 2 1 2 2 1 1
r3per	15	281	1	1 2 3 1 2 3 1 2 3 1 2 3 1 2 3
r3per	15	281	2	1 2 3 1 2 3 1 2 3 1 2 3 1 2 3
r3sum	15	281	1	1 1 1 1 1 2 2 2 2 2 3 3 3 3 3
r3sum	15	281	2	1 1 1 1 1 2 2 2 2 2 3 3 3 3 3
r3blk	15	281	1	1 1 1 2 2 2 3 3 3 1 1 2 2 3 3
r3blk	15	281	2	1 1 1 2 2 2 3 3 3 1 1 2 2 3 3
r3rnd	15	281	1	1 2 2 2 3 1 3 2 1 3 3 2 1 1 3
r3rnd	15	281	2	1 2 2 2 3 1 3 2 1 3 3 2 1 1 3
r3per	9	101	1	1 2 3 1 2 3 1 2 3
r3per	9	101	2	1 2 3 1 2 3 1 2 3
r3sum	9	101	1	1 1 1 2 2 2 3 3 3
r3sum	9	101	2	1 1 1 2 2 2 3 3 3
r3blk	9	101	1	1 1 2 2 3 3 1 2 3
r3blk	9	101	2	1 1 2 2 3 3 1 2 3
r3rnd	9	101	1	1 3 3 3 1 2 2 1 2
r3rnd	9	101	2	1 3 3 3 1 2 2 1 2
id	8	64	1	1 1 1 1 1 1 1 1
id	8	64	2	1 1 1 1 1 1 1 1
r2per	8	64	1	1 2 1 2 1 2 1 2
r2per	8	64	2	1 2 1 2 1 2 1 2
r2sum	8	64	1	1 1 1 1 2 2 2 2
r2sum	8	64	2	1 1 1 1 2 2 2 2
r2blk	8	64	1	1 1 2 2 1 1 2 2
r2blk	8	64	2	1 1 2 2 1 1 2 2
r2rnd	8	64	1	1 2 2 1 2 1 1 2
r2rnd	8	64	2	1 2 2 1 2 1 1 2
r3per	9	81	1	1 2 3 1 2 3 1 2 3
r3per	9	81	2	1 2 3 1 2 3 1 2 3
r3sum	9	81	1	1 1 1 2 2 2 3 3 3
r3sum	9	81	2	1 1 1 2 2 2 3 3 3
r3blk	9	81	1	1 1 2 2 3 3 1 2 3
r3blk	9	81	2	1 1 2 2 3 3 1 2 3
r3rnd	9	81	1	1 3 3 3 1 2 2 1 2
r3rnd	9	81	2	1 3 3 3 1 2 2 1 2
id	12	144	1	1 1 1 1 1 1 1 1 1 1 1 1
id	12	144	2	1 1 1 1 1 1 1 1 1 1 1 1
r2per	12	144	1	1 2 1 2 1 2 1 2 1 2 1 2
r2per	12	144	2	1 2 1 2 1 2 1 2 1 2 1 2
r2sum	12	144	1	1 1 1 1 1 1 2 2 2 2 2 2
r2sum	12	144	2	1 1 1 1 1 1 2 2 2 2 2 2
r2blk	12	144	1	1 1 1 2 2 2 1 1 1 2 2 2
r2blk	12	144	2	1 1 1 2 2 2 1 1 1 2 2 2
r2rnd	12	144	1	1 1 2 2 1 1 1 2 2 2 1 2
r2rnd	12	144	2	1 1 2 2 1 1 1 2 2 2 1 2
r3per	12	144	1	1 2 3 1 2 3 1 2 3 1 2 3
r3per	12	144	2	1 2 3 1 2 3 1 2 3 1 2 3
r3sum	12	144	1	1 1 1 1 2 2 2 2 3 3 3 3
r3sum	12	144	2	1 1 1 1 2 2 2 2 3 3 3 3
r3blk	12	144	1	1 1 2 2 3 3 1 1 2 2 3 3
r3blk	12	144	2	1 1 2 2 3 3 1 1 2 2 3 3
r3rnd	12	144	1	3 1 3 2 3 2 2 1 3 2 1 1
r3rnd	12	144	2	3 1 3 2 3 2 2 1 3 2 1 1
r3per	15	225	1	1 2 3 1 2 3 1 2 3 1 2 3 1 2 3
