r2rnd	16	112	1	2 2 1 1 2 2 1 1 2 2 1 2 1 2 1 1	2000
r2rnd	16	112	2	2 2 1 1 2 2 1 1 2 2 1 2 1 2 1 1	2000
r2per	20	175	1	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2	2000
r2per	20	175	2	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2	2000
r2blk	20	175	1	1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 2 2 2 2 2	2000
r2blk	20	175	2	1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 2 2 2 2 2	2000
r2rnd	20	175	1	1 1 2 1 1 2 2 2 1 1 2 2 2 1 2 1 2 2 1 1	2000
r2rnd	20	175	2	1 1 2 1 1 2 2 2 1 1 2 2 2 1 2 1 2 2 1 1	2000
r3per	12	63	1	1 2 3 1 2 3 1 2 3 1 2 3	2000
r3per	12	63	2	1 2 3 1 2 3 1 2 3 1 2 3	2000
r3rnd	12	63	1	3 1 3 2 3 2 2 1 3 2 1 1	2000
r3rnd	12	63	2	3 1 3 2 3 2 2 1 3 2 1 1	2000
r3per	15	98	1	1 2 3 1 2 3 1 2 3 1 2 3 1 2 3	2000
r3per	15	98	2	1 2 3 1 2 3 1 2 3 1 2 3 1 2 3	2000
r3sum	15	98	1	1 1 1 1 1 2 2 2 2 2 3 3 3 3 3	2000
r3sum	15	98	2	1 1 1 1 1 2 2 2 2 2 3 3 3 3 3	2000
r3blk	15	98	1	1 1 1 2 2 2 3 3 3 1 1 2 2 3 3	2000
r3blk	15	98	2	1 1 1 2 2 2 3 3 3 1 1 2 2 3 3	2000
r3rnd	15	98	1	1 2 2 2 3 1 3 2 1 3 3 2 1 1 3	2000
r3rnd	15	98	2	1 2 2 2 3 1 3 2 1 3 3 2 1 1 3	2000
r3per	9	35	1	1 2 3 1 2 3 1 2 3	2000
r3per	9	35	2	1 2 3 1 2 3 1 2 3	2000
r3sum	9	35	1	1 1 1 2 2 2 3 3 3	2000
r3sum	9	35	2	1 1 1 2 2 2 3 3 3	2000
r3blk	9	35	1	1 1 2 2 3 3 1 2 3	2000
