host,sum_y,sum_y2,sum_m2,distinct,overlap_0,overlap_1,overlap_2,overlap_3,overlap_4,overlap_5,overlap_6,overlap_7,overlap_8,target0_y,target0_y2,target0_hit,target1_y,target1_y2,target1_hit,target2_y,target2_y2,target2_hit,target3_y,target3_y2,target3_hit
376,10591,14165,1437206,9012,0,34,192,542,976,806,1024,0,10591,0,0,0,0,0,0,0,0,0,0,0,0
377,6290,9594,3332272,4844,0,4,66,160,518,1030,1526,0,6290,0,0,0,0,0,0,0,0,0,0,0,0
378,9361,14287,1754004,7338,8,104,358,734,1154,1204,1364,0,9361,0,0,0,0,0,0,0,0,0,0,0,0
379,6759,11307,2655626,4997,0,14,94,340,716,1288,2096,0,6759,0,0,0,0,0,0,0,0,0,0,0,0
380,6689,8945,2185172,5698,4,4,44,104,266,540,1294,0,6689,0,0,0,1,1,1,1,1,1,0,0,0
381,5866,6690,2696064,5471,0,8,38,90,256,256,176,0,5866,3,9,1,0,0,0,0,0,0,0,0,0
382,10197,16641,1797246,7699,8,126,524,938,1668,1626,1554,0,10197,0,0,0,0,0,0,0,0,0,0,0,0
383,11405,19665,1897124,8245,2,26,206,832,1274,2110,3810,0,11405,0,0,0,1,1,1,0,0,0,0,0,0
384,5311,7223,3738176,4451,0,6,36,104,214,342,1210,0,5311,0,0,0,0,0,0,0,0,0,0,0,0
385,5096,7960,3396618,3911,2,6,56,170,502,888,1240,0,5096,0,0,0,0,0,0,0,0,0,0,0,0
386,9826,13466,2186648,8296,20,84,296,670,928,690,952,0,9826,0,0,0,0,0,0,0,0,0,0,0,0
387,12991,28665,2129702,8111,8,172,840,2490,3566,3518,5080,0,12991,0,0,0,0,0,0,2,4,1,3,9,1
388,11752,20174,1829522,8468,0,14,252,962,1524,2312,3358,0,11752,0,0,0,0,0,0,0,0,0,0,0,0
389,4306,6282,5449192,3484,0,2,24,86,206,598,1060,0,4306,0,0,0,0,0,0,0,0,0,0,0,0
390,13854,24322,1416234,9914,2,40,424,1318,2264,2418,4002,0,13854,0,0,0,2,4,1,0,0,0,1,1,1
391,7037,11139,2581560,5391,0,2,30,154,472,1560,1884,0,7037,0,0,0,0,0,0,0,0,0,0,0,0
392,7022,9974,2171414,5820,2,20,112,278,592,806,1142,0,7022,0,0,0,0,0,0,0,0,0,0,0,0
393,6920,8332,2091688,6248,0,28,88,120,184,422,570,0,6920,0,0,0,0,0,0,0,0,0,0,0,0
394,9961,13205,1590174,8506,0,12,114,314,738,1064,1002,0,9961,0,0,0,0,0,0,0,0,0,0,0,0
395,12509,21221,1671686,9222,2,64,532,1208,1860,2418,2628,0,12509,0,0,0,0,0,0,0,0,0,1,1,1
396,3170,4978,8118400,2345,2,12,26,76,114,758,820,0,3170,0,0,0,0,0,0,0,0,0,0,0,0
397,8306,11242,1993254,7050,0,18,40,240,470,966,1202,0,8306,0,0,0,0,0,0,0,0,0,0,0,0
398,6656,8844,3280164,5695,4,6,54,212,538,748,626,0,6656,0,0,0,0,0,0,1,1,1,0,0,0
399,6949,10191,2460882,5538,0,22,80,290,636,814,1400,0,6949,0,0,0,0,0,0,0,0,0,0,0,0
