host,sum_y,sum_y2,sum_m2,distinct,overlap_0,overlap_1,overlap_2,overlap_3,overlap_4,overlap_5,overlap_6,target0_y,target0_y2,target0_hit,target1_y,target1_y2,target1_hit,target2_y,target2_y2,target2_hit,target3_y,target3_y2,target3_hit
138,33,33,330,33,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
139,24,24,392,24,0,0,0,0,0,0,24,0,0,0,1,1,1,0,0,0,0,0,0
140,22,24,488,21,0,0,0,0,2,0,22,0,0,0,0,0,0,0,0,0,0,0,0
141,40,40,234,40,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
142,23,23,474,23,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
143,37,37,252,37,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
144,34,34,280,34,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
145,71,73,128,70,0,0,0,0,2,0,71,0,0,0,1,1,1,0,0,0,0,0,0
146,57,59,158,56,0,0,0,0,2,0,57,0,0,0,0,0,0,0,0,0,0,0,0
147,18,18,568,18,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
148,62,62,148,62,0,0,0,0,0,0,62,0,0,0,1,1,1,0,0,0,0,0,0
149,33,37,330,31,0,0,0,2,2,0,33,1,1,1,0,0,0,1,1,1,0,0,0
150,28,30,336,27,0,0,0,0,2,0,28,1,1,1,0,0,0,0,0,0,0,0,0
151,48,48,182,48,0,0,0,0,0,0,48,0,0,0,0,0,0,1,1,1,0,0,0
152,31,31,312,31,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
153,41,43,240,40,0,0,0,2,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0
154,9,9,998,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
155,21,21,478,21,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
156,43,45,214,42,0,0,0,2,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0
157,40,40,212,40,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
158,23,25,426,22,0,0,0,2,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
